scorer,declined,captured
s_sentinel,0.05,0.0834261543879252
s_sentinel,0.1,0.15021223514535778
s_sentinel,0.15000000000000002,0.2172513353277828
s_sentinel,0.2,0.27845539528827357
s_sentinel,0.25,0.335374769033819
s_sentinel,0.3,0.3882991714023158
s_sentinel,0.35000000000000003,0.44198337130121496
s_sentinel,0.4,0.49406770875426065
s_sentinel,0.45,0.5407007643810463
s_sentinel,0.5,0.5910936020839191
s_sentinel,0.55,0.6392199478983855
s_sentinel,0.6000000000000001,0.686316326445323
s_eb,0.05,0.07936444371861354
s_eb,0.1,0.14498076596414491
s_eb,0.15000000000000002,0.21435680984138478
s_eb,0.2,0.27449327087329745
s_eb,0.25,0.3345098939313857
s_eb,0.3,0.38933591621110947
s_eb,0.35000000000000003,0.4379272908939645
s_eb,0.4,0.489926065032358
s_eb,0.45,0.5400881392692416
s_eb,0.5,0.5843412853912697
s_eb,0.55,0.6318398009307475
s_eb,0.6000000000000001,0.6771026543472403
s_naive,0.05,0.07843340423309064
s_naive,0.1,0.13981284704562155
s_naive,0.15000000000000002,0.21242683022648456
s_naive,0.2,0.27111081448591023
s_naive,0.25,0.3321652343520642
s_naive,0.3,0.38942576032697124
s_naive,0.35000000000000003,0.43749615893291816
s_naive,0.4,0.49053359595910867
s_naive,0.45,0.5345361122689013
s_naive,0.5,0.5815582468239758
s_naive,0.55,0.6291921395126031
s_naive,0.6000000000000001,0.67610063435
s_model,0.05,0.0817377492636764
s_model,0.1,0.14227916425985976
s_model,0.15000000000000002,0.20020991958516748
s_model,0.2,0.25324022530567514
s_model,0.25,0.30884777973523114
s_model,0.3,0.36593818521093496
s_model,0.35000000000000003,0.4222710288616148
s_model,0.4,0.47672216823627606
s_model,0.45,0.5299761453990782
s_model,0.5,0.5792946660671705
s_model,0.55,0.6238279812849313
s_model,0.6000000000000001,0.6679665919553528
