fold,n,base_rate,sentinel_auc,sentinel_lift,eb_only_auc,eb_only_lift,naive_auc,naive_lift,model_only_auc,model_only_lift
2017-09-09,131,0.09923664122137404,0.5622555410691005,1.5502958579881658,0.5443285528031291,1.1627218934911243,0.5156453715775751,1.1627218934911243,0.5984354628422426,1.5502958579881658
2017-09-23,136,0.09558823529411764,0.5903689806128831,1.1623931623931625,0.5622263914946841,0.774928774928775,0.5616010006253909,1.1623931623931625,0.5766103814884302,1.54985754985755
2017-10-07,132,0.1590909090909091,0.6705276705276705,1.9340659340659343,0.6700986700986701,1.9340659340659343,0.6546546546546546,1.9340659340659343,0.5667095667095667,1.4505494505494507
2017-10-21,132,0.11363636363636363,0.7014245014245014,2.3692307692307693,0.6678062678062678,2.3692307692307693,0.6581196581196582,2.707692307692308,0.6581196581196581,1.6923076923076925
2017-11-04,214,0.2570093457943925,0.6739851343624927,1.852813852813853,0.6625500285877645,1.6675324675324676,0.6493424814179531,1.852813852813853,0.6172670097198399,1.4822510822510824
2017-11-18,221,0.2895927601809955,0.6848128980891719,1.6480823863636362,0.6701831210191083,1.6480823863636362,0.665953423566879,1.8050426136363633,0.630672770700637,1.7265624999999998
2017-12-02,153,0.2222222222222222,0.6560800790904597,1.65,0.6238260009886307,1.5,0.6182649530400395,1.5,0.6304992585269402,1.9500000000000002
2017-12-16,160,0.1625,0.6572904707233065,1.923076923076923,0.6739380022962113,2.1153846153846154,0.6816877152698047,1.923076923076923,0.5341561423650976,0.9615384615384615
2017-12-30,185,0.17297297297297298,0.6131535947712418,1.5625,0.6102941176470588,2.03125,0.5968137254901961,2.03125,0.593341503267974,0.9375
2018-01-13,187,0.18181818181818182,0.6645520953479431,1.9324324324324325,0.6366782006920415,1.635135135135135,0.6318723567858516,1.635135135135135,0.6359092656670511,1.4864864864864866
2018-01-27,200,0.32,0.6809512867647058,1.640625,0.6747472426470588,1.5625,0.6750919117647058,1.71875,0.598345588235294,1.40625
2018-02-10,208,0.5,0.5942585059171598,1.2682926829268293,0.6160318047337278,1.4146341463414633,0.6079881656804732,1.3658536585365855,0.510262573964497,0.926829268292683
2018-02-24,201,0.5024875621890548,0.6224752475247526,1.2935643564356436,0.6272277227722772,1.3433168316831683,0.6235643564356436,1.3433168316831683,0.5712871287128714,1.2438118811881187
2018-03-10,206,0.2961165048543689,0.6743923120407009,1.6473410635745702,0.6518937252685133,1.7297081167532988,0.6467495760316564,1.6473410635745702,0.6611644997173545,1.6473410635745702
2018-03-24,194,0.16494845360824742,0.7364969135802469,2.2335526315789473,0.7428626543209875,2.552631578947368,0.7490354938271606,2.393092105263158,0.6228780864197532,1.4358552631578947
2018-04-07,211,0.17061611374407584,0.6222222222222222,1.53505291005291,0.6125396825396826,1.53505291005291,0.6107142857142857,1.3955026455026454,0.6103174603174604,1.2559523809523807
2018-04-21,215,0.12558139534883722,0.7548266351457841,2.222222222222222,0.7630023640661939,2.5925925925925926,0.7703900709219857,2.7777777777777777,0.6729708431836091,1.4814814814814814
2018-05-05,182,0.1043956043956044,0.6545043590571521,1.5964912280701753,0.6432030997739747,1.3304093567251463,0.669518889247659,1.8625730994152045,0.6438488860187278,1.5964912280701753
2018-05-19,159,0.1069182389937107,0.7050538525269262,2.413662239089184,0.6884838442419221,2.111954459203036,0.6965617232808615,2.413662239089184,0.6967688483844243,1.8102466793168879
2018-06-02,169,0.08284023668639054,0.617741935483871,1.4632034632034632,0.6230414746543778,1.4632034632034632,0.6089861751152074,1.4632034632034632,0.5709677419354838,1.0974025974025974
2018-06-16,144,0.08333333333333333,0.6527777777777778,2.1428571428571432,0.649621212121212,1.7142857142857142,0.6420454545454546,1.7142857142857142,0.6199494949494949,2.1428571428571432
2018-06-30,145,0.1310344827586207,0.6478696741854636,1.8421052631578947,0.6303258145363408,1.8421052631578947,0.5735171261487051,1.8421052631578947,0.6491228070175439,1.5789473684210524
2018-07-14,195,0.1282051282051282,0.6397647058823529,2.0,0.604235294117647,1.8000000000000003,0.5525882352941176,2.0,0.6710588235294117,1.8000000000000003
2018-07-28,206,0.13592233009708737,0.6823836276083468,1.9738675958188154,0.6334269662921348,1.6149825783972127,0.6101524879614768,1.6149825783972127,0.6934189406099518,1.9738675958188154
