category,month,seasonal_index
alimentos,1,0.6221214837232616
alimentos,2,1.1830057297290968
alimentos,3,1.5559154173965692
alimentos,4,1.010708749264154
alimentos,5,0.6961255452095909
alimentos,6,0.5065846090206662
alimentos,7,1.3145945500668137
alimentos,8,2.1000093114930687
alimentos,9,0.7378782300757721
alimentos,10,0.7072905864075681
alimentos,11,0.3555432996327443
alimentos,12,0.513866505669904
audio,1,0.9429199961718816
audio,2,0.6979417715797647
audio,3,1.2763747516590416
audio,4,1.0819638917871375
audio,5,1.0099244512884629
audio,6,0.8855353497420368
audio,7,0.695949250487435
audio,8,0.7073862921573354
audio,9,0.6417989509649762
audio,10,1.837959464141854
audio,11,1.2060669348431754
audio,12,0.8231436723338318
automotivo,1,0.9533464545047898
automotivo,2,1.183011081672224
automotivo,3,0.9785037124864258
automotivo,4,1.087390535569493
automotivo,5,0.961689834055423
automotivo,6,1.0090076219847592
automotivo,7,1.0410372541736528
automotivo,8,1.122087700941416
automotivo,9,0.6006848642476816
automotivo,10,0.8576787971870861
automotivo,11,0.8694082372566194
automotivo,12,1.1424009133451596
bebes,1,1.2087805859753242
bebes,2,0.7595443053514865
bebes,3,0.8106145633991961
bebes,4,0.8917032478651805
bebes,5,1.0368149886307878
bebes,6,0.9655463449755955
bebes,7,1.1151298458727208
bebes,8,1.0503894259230249
bebes,9,1.3360024507761028
bebes,10,1.1265941395481356
bebes,11,0.8875902292869196
bebes,12,0.8461724248540738
beleza_saude,1,0.905495437495587
beleza_saude,2,0.888916396331757
beleza_saude,3,0.7902110733080913
beleza_saude,4,0.8070945987779659
beleza_saude,5,0.8553359003399038
beleza_saude,6,1.0044888700154384
beleza_saude,7,0.9022590723697849
beleza_saude,8,0.9918802516911671
beleza_saude,9,2.072143577085466
beleza_saude,10,1.0508456189971742
beleza_saude,11,0.7049348253232827
beleza_saude,12,0.7577235818520441
brinquedos,1,0.8789095911506717
brinquedos,2,0.6411234422230128
brinquedos,3,0.7923434691594825
brinquedos,4,0.8222583713214788
brinquedos,5,0.9759154546391915
brinquedos,6,0.8774861414079733
