category,ym,n,platform_n,share,month,seasonal_index,adj,roll_mean,roll_std,denom,z,shift,bad_rate
agro_industria_e_comercio,2017-01,2,789,0.0025348542458808617,1,1.0,0.0025348542458808617,,0.0,,,,0.0
agro_industria_e_comercio,2017-02,7,1733,0.004039238315060588,2,1.0,0.004039238315060588,,0.0,,,,0.0
agro_industria_e_comercio,2017-03,2,2641,0.0007572889057175312,3,1.0,0.0007572889057175312,0.003287046280470725,0.0010637601768259972,0.0010637601768259972,-2.3781275421508794,,0.5
agro_industria_e_comercio,2017-05,4,3660,0.001092896174863388,5,1.0,0.001092896174863388,0.0024437938222196605,0.0016428685224143254,0.0016428685224143254,-0.8222798288027465,,0.0
agro_industria_e_comercio,2017-06,1,3217,0.00031084861672365556,6,1.0,0.00031084861672365556,0.0021060694103805923,0.0015018574393179701,0.0015018574393179701,-1.1953336892429618,,1.0
agro_industria_e_comercio,2017-07,1,3969,0.0002519526329050139,7,1.0,0.0002519526329050139,0.0015500680030912908,0.0016900826712813691,0.0016900826712813691,-0.7680780308824097,,0.0
agro_industria_e_comercio,2017-08,1,4293,0.00023293733985557886,8,1.0,0.00023293733985557886,0.0006032465825523974,0.00039681640173430064,0.00039681640173430064,-0.9332004450379783,,0.0
agro_industria_e_comercio,2017-09,3,4243,0.0007070469007777516,9,1.0,0.0007070469007777516,0.0004721586910869093,0.00041515199096282097,0.00041515199096282097,0.5657884697748631,,0.3333333333333333
agro_industria_e_comercio,2017-10,5,4568,0.0010945709281961471,10,1.0,0.0010945709281961471,0.00037569637256550017,0.00022337640766927766,0.00022337640766927766,3.218220595144427,,0.2
agro_industria_e_comercio,2017-11,13,7451,0.0017447322507046035,11,1.0,0.0017447322507046035,0.0005716269504336231,0.00041178930228543857,0.00041178930228543857,2.84879984438698,,0.3076923076923077
agro_industria_e_comercio,2017-12,9,5624,0.001600284495021337,12,1.0,0.001600284495021337,0.0009448218548835205,0.00063916558048683,0.00063916558048683,1.0254973987156406,,0.0
agro_industria_e_comercio,2018-01,15,7220,0.002077562326869806,1,1.0,0.002077562326869806,0.00128665864367496,0.0004764591857414079,0.0004764591857414079,1.6599610352020768,,0.13333333333333333
agro_industria_e_comercio,2018-02,21,6694,0.00313713773528533,2,1.0,0.00313713773528533,0.0016292875001979736,0.0004086729733050048,0.0004086729733050048,3.6896255284344504,,0.19047619047619047
agro_industria_e_comercio,2018-03,25,7188,0.003478018920422927,3,1.0,0.003478018920422927,0.002139929201970269,0.0006941929429329781,0.0006941929429329781,1.9275472792898238,,0.16
agro_industria_e_comercio,2018-04,12,6934,0.0017306028266512836,4,1.0,0.0017306028266512836,0.0025732508693998503,0.0008810872678187774,0.0008810872678187774,-0.9563729650011049,,0.25
agro_industria_e_comercio,2018-05,8,6853,0.0011673719538888077,5,1.0,0.0011673719538888077,0.002605830452307337,0.000834284276475769,0.000834284276475769,-1.7241826784689593,,0.0
agro_industria_e_comercio,2018-06,10,6160,0.0016233766233766235,6,1.0,0.0016233766233766235,0.0023782828590620873,0.0011062059441286202,0.0011062059441286202,-0.6824282943806798,,0.1
agro_industria_e_comercio,2018-07,29,6273,0.004622987406344652,7,1.0,0.004622987406344652,0.0019998425810849106,0.0010152551892674913,0.0010152551892674913,2.5837295420793125,SURGE,0.10344827586206896
agro_industria_e_comercio,2018-08,14,6452,0.0021698698078115313,8,1.0,0.0021698698078115313,0.0022860847025653417,0.0015769564117494874,0.0015769564117494874,-0.0736956924667821,,0.14285714285714285
alimentos,2016-10,1,308,0.003246753246753247,10,0.7072905864075681,0.004590409245009155,,0.0,,,,0.0
alimentos,2017-01,2,789,0.0025348542458808617,1,0.6221214837232616,0.004074532566710783,,0.0,,,,0.0
alimentos,2017-02,9,1733,0.0051933064050779,2,1.1830057297290968,0.004389924980555373,0.004332470905859968,0.00036477989748076936,0.00036477989748076936,0.15750340161887197,,0.2222222222222222
alimentos,2017-03,22,2641,0.008330177962892843,3,1.5559154173965692,0.005353875840391946,0.00435162226409177,0.0002600625124261639,0.0002600625124261639,3.853894846089104,,0.22727272727272727
alimentos,2017-04,8,2391,0.003345880384776244,4,1.010708749264154,0.0033104298218573952,0.004602185658166814,0.0005442576577760721,0.0005442576577760721,-2.373427030108772,,0.125
alimentos,2017-05,3,3660,0.000819672131147541,5,0.6961255452095909,0.0011774774489862348,0.004282190802378874,0.0008460805359525563,0.0008460805359525563,-3.6695246155228123,,0.3333333333333333
alimentos,2017-06,1,3217,0.00031084861672365556,6,0.5065846090206662,0.0006136163854732793,0.0035579270229477377,0.0017930837306219672,0.0017930837306219672,-1.6420374504503283,,0.0
alimentos,2017-07,6,3969,0.0015117157974300832,7,1.3145945500668137,0.0011499483223578334,0.002613849874177214,0.0021646451342905155,0.0021646451342905155,-0.6762778474076255,,0.0
alimentos,2017-08,7,4293,0.001630561378989052,8,2.1000093114930687,0.0007764543566855674,0.0015628679946686856,0.0011936051114012968,0.0011936051114012968,-0.6588557894661374,,0.0
alimentos,2017-09,13,4243,0.003063869903370257,9,0.7378782300757721,0.004152270359101976,0.0009293741283757286,0.0002788641494380421,0.0002788641494380421,11.557226833283957,,0.07692307692307693
alimentos,2017-10,12,4568,0.002626970227670753,10,0.7072905864075681,0.003714131473194797,0.0016730723559046639,0.0016679780457526199,0.0016679780457526199,1.2236726511404246,,0.0
alimentos,2017-11,11,7451,0.0014763119044423566,11,0.3555432996327443,0.004152270359101976,0.0024482011278350434,0.0017307637233344387,0.0017307637233344387,0.9845764666155139,,0.18181818181818182
alimentos,2017-12,12,5624,0.0021337126600284497,12,0.513866505669904,0.004152270359101976,0.003198781637021079,0.0016280393517943423,0.0016280393517943423,0.5856668765592246,,0.08333333333333333
alimentos,2018-01,19,7220,0.002631578947368421,1,0.6221214837232616,0.004230008151493168,0.004042735637625181,0.0002190694429535856,0.0002190694429535856,0.8548545673148235,,0.21052631578947367
alimentos,2018-02,31,6694,0.004631012847325963,2,1.1830057297290968,0.003914615737648578,0.004062170085722979,0.0002349018310258957,0.0002349018310258957,-0.6281532478056108,,0.16129032258064516
alimentos,2018-03,33,7188,0.004590984974958264,3,1.5559154173965692,0.002950664877812006,0.004112291151836424,0.00013678393595945588,0.00013678393595945588,-8.492417372524914,COLLAPSE,0.21212121212121213
alimentos,2018-04,35,6934,0.005047591577732911,4,1.010708749264154,0.004994110896346556,0.0038118897815139323,0.0005896165041034237,0.0005896165041034237,2.0050678815891025,SURGE,0.08571428571428572
