fold,n,all,hard_only,gameable_only
2017-09-09,131,0.5984354628422426,0.680573663624511,0.3976531942633638
2017-09-30,129,0.6598143236074271,0.6445623342175066,0.5517241379310346
2017-10-21,132,0.6581196581196581,0.5789173789173789,0.7754985754985755
2017-11-11,226,0.6269886363636363,0.6342803030303029,0.6428030303030303
2017-12-02,153,0.6304992585269402,0.6238260009886307,0.527681660899654
2017-12-23,170,0.6091900673009979,0.491065212346252,0.57994894407055
2018-01-13,187,0.6359092656670511,0.607843137254902,0.6164936562860438
2018-02-03,212,0.6123188405797102,0.5898550724637682,0.6094202898550725
2018-02-24,201,0.5712871287128714,0.5636633663366336,0.5540594059405941
2018-03-17,202,0.6880396319886766,0.5983014861995755,0.640764331210191
2018-04-07,211,0.6103174603174604,0.5617460317460318,0.584920634920635
2018-04-28,186,0.5846385542168675,0.608433734939759,0.6069277108433735
2018-05-19,159,0.6967688483844243,0.5608947804473902,0.6714995857497928
2018-06-09,172,0.6359375,0.6098958333333333,0.7026041666666666
2018-06-30,145,0.6491228070175439,0.664578111946533,0.6466165413533834
2018-07-21,213,0.6818504076568593,0.6504785537043603,0.6265508684863523
